Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.147,0.855,0.989,0.011
O,0.1,0.154,0.886,0.856,0.193
O,0.15,0.181,0.874,0.464,0.639
O,0.2,0.216,0.859,0.114,0.929
O+Q,0.05,0.149,0.914,0.980,0.037
O+Q,0.1,0.188,0.920,0.793,0.411
O+Q,0.15,0.232,0.898,0.540,0.693
O+Q,0.2,0.246,0.876,0.312,0.836
S,0.05,0.147,--,1.000,0.000
S,0.1,0.149,0.870,0.884,0.133
S,0.15,0.188,0.874,0.422,0.688
S,0.2,0.300,0.857,0.042,0.983
O+S,0.05,0.147,1.000,1.000,0.006
O+S,0.1,0.159,0.899,0.856,0.221
O+S,0.15,0.195,0.882,0.494,0.650
O+S,0.2,0.260,0.867,0.192,0.907
O+Q+S,0.05,0.173,0.988,0.986,0.189
O+Q+S,0.1,0.221,0.952,0.858,0.482
O+Q+S,0.15,0.279,0.926,0.675,0.701
O+Q+S,0.2,0.358,0.910,0.516,0.841
