Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.009,0.996,0.965,0.086
O,0.01,0.015,0.993,0.389,0.770
O,0.02,0.026,0.992,0.176,0.940
O,0.05,--,0.991,0.000,1.000
O+Q,0.005,0.009,0.994,0.897,0.151
O+Q,0.01,0.014,0.993,0.456,0.700
O+Q,0.02,0.016,0.992,0.138,0.924
O+Q,0.05,0.000,0.991,0.000,0.999
S,0.005,0.009,--,1.000,0.000
S,0.01,0.013,0.993,0.394,0.724
S,0.02,0.009,0.991,0.033,0.967
S,0.05,0.213,0.991,0.033,0.999
O+S,0.005,0.009,--,1.000,0.000
O+S,0.01,0.014,0.993,0.426,0.722
O+S,0.02,0.006,0.991,0.033,0.948
O+S,0.05,0.289,0.991,0.033,0.999
O+Q+S,0.005,0.009,1.000,1.000,0.002
O+Q+S,0.01,0.012,0.992,0.388,0.703
O+Q+S,0.02,0.006,0.991,0.033,0.947
O+Q+S,0.05,0.000,0.991,0.000,0.999
