Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.011,0.991,0.915,0.104
O,0.01,0.017,0.994,0.721,0.533
O,0.02,0.040,0.992,0.305,0.919
O,0.05,0.000,0.989,0.000,0.998
O+Q,0.005,0.012,0.996,0.943,0.165
O+Q,0.01,0.017,0.994,0.665,0.577
O+Q,0.02,0.042,0.993,0.416,0.895
O+Q,0.05,0.169,0.991,0.166,0.991
S,0.005,0.011,--,1.000,0.000
S,0.01,0.015,0.993,0.724,0.460
S,0.02,0.012,0.989,0.056,0.949
S,0.05,0.248,0.989,0.029,0.999
O+S,0.005,0.011,0.991,0.971,0.037
O+S,0.01,0.017,0.994,0.720,0.537
O+S,0.02,0.035,0.991,0.249,0.924
O+S,0.05,0.076,0.989,0.029,0.996
O+Q+S,0.005,0.012,0.997,0.973,0.110
O+Q+S,0.01,0.019,0.995,0.747,0.565
O+Q+S,0.02,0.046,0.993,0.415,0.904
O+Q+S,0.05,0.140,0.990,0.085,0.994
