Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.004,0.995,0.424,0.496
O,0.01,0.008,0.996,0.067,0.961
O,0.02,0.000,0.996,0.000,0.999
O,0.05,--,0.996,0.000,1.000
O+Q,0.005,0.007,0.998,0.716,0.572
O+Q,0.01,0.011,0.996,0.072,0.972
O+Q,0.02,--,0.996,0.000,1.000
O+Q,0.05,--,0.996,0.000,1.000
S,0.005,0.009,0.998,0.644,0.683
S,0.01,0.015,0.997,0.364,0.894
S,0.02,0.016,0.996,0.072,0.980
S,0.05,--,0.996,0.000,1.000
O+S,0.005,0.007,0.997,0.503,0.684
O+S,0.01,0.014,0.997,0.364,0.889
O+S,0.02,0.024,0.996,0.141,0.975
O+S,0.05,0.000,0.996,0.000,0.999
O+Q+S,0.005,0.009,0.998,0.644,0.682
O+Q+S,0.01,0.018,0.997,0.431,0.899
O+Q+S,0.02,0.000,0.996,0.000,0.981
O+Q+S,0.05,0.000,0.996,0.000,0.999
