threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.005,0.0009939234531172341,-0.0008049187668396201,0.0029330801899804192
0.01,2.9671423471463968e-05,-0.0003285630980806414,0.000702539801479011
0.015,-2.2208355968565793e-05,-4.40514470497651e-05,-5.5043077711585225e-06
0.02,0.0,0.0,0.0
0.025,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.035,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.045,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.055,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.065,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.075,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
