Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.525,-4.366,0.199,0.004,0.004,0.995,0.008,0.996,0.000,0.996,--,0.996,ref
O+Q,0.701,4.930,1.997,0.004,0.007,0.998,0.011,0.996,--,0.996,--,0.996,0.567
S,0.686,-0.476,0.936,0.004,0.009,0.998,0.015,0.997,0.016,0.996,--,0.996,0.807
O+S,0.668,-0.733,0.884,0.004,0.007,0.997,0.014,0.997,0.024,0.996,0.000,0.996,0.847
O+Q+S,0.729,0.700,1.174,0.004,0.009,0.998,0.018,0.997,0.000,0.996,0.000,0.996,0.821
