Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.083,0.957,0.897,0.187
O,0.1,0.113,0.931,0.234,0.850
O,0.15,--,0.924,0.000,1.000
O,0.2,--,0.924,0.000,1.000
O+Q,0.05,0.103,0.969,0.850,0.390
O+Q,0.1,0.136,0.944,0.437,0.773
O+Q,0.15,0.160,0.929,0.124,0.947
O+Q,0.2,0.223,0.925,0.024,0.993
S,0.05,0.077,0.936,0.925,0.091
S,0.1,0.123,0.928,0.115,0.933
S,0.15,--,0.924,0.000,1.000
S,0.2,--,0.924,0.000,1.000
O+S,0.05,0.082,0.954,0.897,0.176
O+S,0.1,0.124,0.932,0.235,0.864
O+S,0.15,0.476,0.924,0.004,1.000
O+S,0.2,--,0.924,0.000,1.000
O+Q+S,0.05,0.127,0.981,0.883,0.501
O+Q+S,0.1,0.183,0.962,0.626,0.771
O+Q+S,0.15,0.233,0.948,0.400,0.892
O+Q+S,0.2,0.292,0.940,0.256,0.949
