Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.012,0.996,0.780,0.472
O,0.01,0.009,0.992,0.146,0.863
O,0.02,--,0.992,0.000,1.000
O,0.05,--,0.992,0.000,1.000
O+Q,0.005,0.015,0.997,0.816,0.537
O+Q,0.01,0.014,0.993,0.221,0.871
O+Q,0.02,0.046,0.992,0.036,0.994
O+Q,0.05,--,0.992,0.000,1.000
S,0.005,0.009,0.993,0.592,0.456
S,0.01,0.014,0.992,0.110,0.933
S,0.02,0.000,0.992,0.000,0.997
S,0.05,--,0.992,0.000,1.000
O+S,0.005,0.012,0.996,0.740,0.509
O+S,0.01,0.014,0.993,0.220,0.873
O+S,0.02,0.000,0.992,0.000,0.998
O+S,0.05,--,0.992,0.000,1.000
O+Q+S,0.005,0.012,0.995,0.703,0.527
O+Q+S,0.01,0.015,0.993,0.220,0.878
O+Q+S,0.02,0.060,0.992,0.037,0.995
O+Q+S,0.05,--,0.992,0.000,1.000
