Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.643,-0.837,0.761,0.008,0.012,0.996,0.009,0.992,--,0.992,--,0.992,ref
O+Q,0.655,-0.460,0.835,0.008,0.015,0.997,0.014,0.993,0.046,0.992,--,0.992,0.120
S,0.537,-2.617,0.416,0.008,0.009,0.993,0.014,0.992,0.000,0.992,--,0.992,-0.271
O+S,0.622,-1.040,0.720,0.008,0.012,0.996,0.014,0.993,0.000,0.992,--,0.992,-0.168
O+Q+S,0.633,-0.529,0.822,0.008,0.012,0.995,0.015,0.993,0.060,0.992,--,0.992,-0.046
