Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.072,0.920,0.981,0.017
O,0.1,--,0.928,0.000,1.000
O,0.15,--,0.928,0.000,1.000
O,0.2,--,0.928,0.000,1.000
O+Q,0.05,0.072,0.948,0.986,0.020
O+Q,0.1,--,0.928,0.000,1.000
O+Q,0.15,--,0.928,0.000,1.000
O+Q,0.2,--,0.928,0.000,1.000
S,0.05,0.071,0.909,0.934,0.051
S,0.1,0.022,0.927,0.006,0.980
S,0.15,0.000,0.928,0.000,0.998
S,0.2,--,0.928,0.000,1.000
O+S,0.05,0.071,0.920,0.951,0.044
O+S,0.1,0.022,0.927,0.006,0.980
O+S,0.15,--,0.928,0.000,1.000
O+S,0.2,--,0.928,0.000,1.000
O+Q+S,0.05,0.104,0.999,0.995,0.336
O+Q+S,0.1,0.116,0.951,0.544,0.679
O+Q+S,0.15,0.104,0.930,0.083,0.945
O+Q+S,0.2,0.309,0.930,0.021,0.996
