Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.145,0.438,0.974,0.003
O,0.1,0.162,0.898,0.838,0.248
O,0.15,0.220,0.885,0.458,0.719
O,0.2,0.245,0.862,0.143,0.924
O+Q,0.05,0.154,0.926,0.961,0.085
O+Q,0.1,0.187,0.910,0.749,0.437
O+Q,0.15,0.236,0.902,0.571,0.679
O+Q,0.2,0.282,0.881,0.339,0.851
S,0.05,0.148,--,1.000,0.000
S,0.1,0.147,0.846,0.907,0.088
S,0.15,0.203,0.875,0.394,0.731
S,0.2,0.691,0.855,0.022,0.998
O+S,0.05,0.147,0.783,0.989,0.007
O+S,0.1,0.164,0.901,0.830,0.267
O+S,0.15,0.216,0.886,0.477,0.700
O+S,0.2,0.258,0.864,0.171,0.915
O+Q+S,0.05,0.174,0.964,0.954,0.213
O+Q+S,0.1,0.219,0.937,0.806,0.503
O+Q+S,0.15,0.290,0.930,0.696,0.705
O+Q+S,0.2,0.369,0.917,0.567,0.832
