Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.060,--,1.000,0.000
O,0.01,0.060,--,1.000,0.000
O,0.02,0.066,0.982,0.967,0.116
O,0.05,0.131,0.957,0.426,0.819
O+Q,0.005,0.060,--,1.000,0.000
O+Q,0.01,0.060,--,1.000,0.000
O+Q,0.02,0.071,0.984,0.947,0.203
O+Q,0.05,0.140,0.959,0.446,0.824
S,0.005,0.060,--,1.000,0.000
S,0.01,0.060,--,1.000,0.000
S,0.02,0.060,--,1.000,0.000
S,0.05,0.160,0.948,0.199,0.933
O+S,0.005,0.060,--,1.000,0.000
O+S,0.01,0.060,--,1.000,0.000
O+S,0.02,0.062,0.981,0.988,0.040
O+S,0.05,0.126,0.956,0.407,0.819
O+Q+S,0.005,0.060,--,1.000,0.000
O+Q+S,0.01,0.060,--,1.000,0.000
O+Q+S,0.02,0.069,0.985,0.960,0.172
O+Q+S,0.05,0.136,0.959,0.462,0.812
