Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.059,0.965,0.027,0.984
O,0.1,--,0.964,0.000,1.000
O,0.15,--,0.964,0.000,1.000
O,0.2,--,0.964,0.000,1.000
O+Q,0.05,0.056,0.965,0.079,0.951
O+Q,0.1,--,0.964,0.000,1.000
O+Q,0.15,--,0.964,0.000,1.000
O+Q,0.2,--,0.964,0.000,1.000
S,0.05,0.040,0.965,0.026,0.977
S,0.1,--,0.964,0.000,1.000
S,0.15,--,0.964,0.000,1.000
S,0.2,--,0.964,0.000,1.000
O+S,0.05,0.041,0.965,0.026,0.977
O+S,0.1,--,0.964,0.000,1.000
O+S,0.15,--,0.964,0.000,1.000
O+S,0.2,--,0.964,0.000,1.000
O+Q+S,0.05,0.067,0.984,0.712,0.634
O+Q+S,0.1,0.161,0.966,0.045,0.991
O+Q+S,0.15,--,0.964,0.000,1.000
O+Q+S,0.2,--,0.964,0.000,1.000
