Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.143,0.795,0.981,0.013
O,0.1,0.155,0.904,0.872,0.201
O,0.15,0.188,0.880,0.458,0.668
O,0.2,0.191,0.862,0.142,0.899
O+Q,0.05,0.146,0.926,0.987,0.027
O+Q,0.1,0.178,0.917,0.792,0.388
O+Q,0.15,0.203,0.894,0.551,0.638
O+Q,0.2,0.227,0.881,0.362,0.793
S,0.05,0.144,--,1.000,0.000
S,0.1,0.143,0.853,0.883,0.114
S,0.15,0.192,0.877,0.407,0.712
S,0.2,0.239,0.858,0.034,0.982
O+S,0.05,0.144,0.887,0.996,0.005
O+S,0.1,0.152,0.891,0.857,0.196
O+S,0.15,0.200,0.884,0.460,0.690
O+S,0.2,0.215,0.865,0.166,0.899
O+Q+S,0.05,0.167,0.968,0.962,0.192
O+Q+S,0.1,0.215,0.948,0.842,0.484
O+Q+S,0.15,0.267,0.932,0.710,0.672
O+Q+S,0.2,0.298,0.911,0.545,0.784
