threshold,strategy,net_benefit,model
0.055,Treat all,-0.04389648787785236,S
0.06,Treat all,-0.04944912877081965,S
0.065,Treat all,-0.05506115619740158,S
0.07,Treat all,-0.06073352800491451,S
0.075,Treat all,-0.066467222750887,S
0.08,Treat all,-0.07226324026583747,S
0.085,Treat all,-0.07812260223450326,S
0.09,Treat all,-0.0840463527962313,S
0.095,Treat all,-0.09003555916527124,S
0.1,Treat all,-0.09609131227174499,S
0.005,Treat none,0.0,S
0.01,Treat none,0.0,S
0.015,Treat none,0.0,S
0.02,Treat none,0.0,S
0.025,Treat none,0.0,S
0.03,Treat none,0.0,S
0.035,Treat none,0.0,S
0.04,Treat none,0.0,S
0.045,Treat none,0.0,S
0.05,Treat none,0.0,S
0.055,Treat none,0.0,S
0.06,Treat none,0.0,S
0.065,Treat none,0.0,S
0.07,Treat none,0.0,S
0.075,Treat none,0.0,S
0.08,Treat none,0.0,S
0.085,Treat none,0.0,S
0.09,Treat none,0.0,S
0.095,Treat none,0.0,S
0.1,Treat none,0.0,S
0.005,O+S,0.008564290424437751,O+S
0.01,O+S,0.005641406677501633,O+S
0.015,O+S,0.0033715050078765405,O+S
0.02,O+S,0.002849267035485958,O+S
0.025,O+S,0.0018426540886993322,O+S
0.03,O+S,0.001529219160046893,O+S
0.035,O+S,0.0005116241322789669,O+S
0.04,O+S,0.0002692404664137611,O+S
0.045,O+S,0.00026709737692526584,O+S
0.05,O+S,0.00016129310239074482,O+S
0.055,O+S,0.00012750148954842504,O+S
0.06,O+S,0.00016497379152842116,O+S
0.065,O+S,8.98430079323547e-05,O+S
0.07,O+S,8.574447338935403e-05,O+S
0.075,O+S,7.726307800996364e-05,O+S
0.08,O+S,7.726307800996364e-05,O+S
0.085,O+S,7.726307800996364e-05,O+S
0.09,O+S,7.726307800996364e-05,O+S
0.095,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.005,Treat all,0.00856062206575832,O+S
0.01,Treat all,0.003553352480231845,O+S
0.015,Treat all,-0.0015047523295131683,O+S
0.02,Treat all,-0.006614470453643342,O+S
0.025,Treat all,-0.011776595943149205,O+S
0.03,Treat all,-0.016991939221206676,O+S
0.035,Treat all,-0.02226132750732692,O+S
0.04,Treat all,-0.027585605254760913,O+S
0.045,Treat all,-0.03296563460164448,O+S
0.05,Treat all,-0.038402295836389974,O+S
0.055,Treat all,-0.04389648787785236,O+S
0.06,Treat all,-0.04944912877081965,O+S
0.065,Treat all,-0.05506115619740158,O+S
0.07,Treat all,-0.06073352800491451,O+S
0.075,Treat all,-0.066467222750887,O+S
0.08,Treat all,-0.07226324026583747,O+S
0.085,Treat all,-0.07812260223450326,O+S
0.09,Treat all,-0.0840463527962313,O+S
0.095,Treat all,-0.09003555916527124,O+S
0.1,Treat all,-0.09609131227174499,O+S
0.005,Treat none,0.0,O+S
0.01,Treat none,0.0,O+S
0.015,Treat none,0.0,O+S
0.02,Treat none,0.0,O+S
0.025,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
0.035,Treat none,0.0,O+S
0.04,Treat none,0.0,O+S
0.045,Treat none,0.0,O+S
0.05,Treat none,0.0,O+S
0.055,Treat none,0.0,O+S
0.06,Treat none,0.0,O+S
0.065,Treat none,0.0,O+S
0.07,Treat none,0.0,O+S
0.075,Treat none,0.0,O+S
0.08,Treat none,0.0,O+S
0.085,Treat none,0.0,O+S
0.09,Treat none,0.0,O+S
0.095,Treat none,0.0,O+S
0.1,Treat none,0.0,O+S
0.005,O+Q+S,0.008917995174449012,O+Q+S
0.01,O+Q+S,0.006198260074621815,O+Q+S
0.015,O+Q+S,0.004025588275088707,O+Q+S
0.02,O+Q+S,0.0030151551818518897,O+Q+S
0.025,O+Q+S,0.001639730589127301,O+Q+S
0.03,O+Q+S,0.0011435356949164991,O+Q+S
0.035,O+Q+S,0.0009775696875261267,O+Q+S
0.04,O+Q+S,0.000468876365004495,O+Q+S
0.045,O+Q+S,0.0002764060268830954,O+Q+S
0.05,O+Q+S,0.00016185774955546206,O+Q+S
0.055,O+Q+S,6.346562016445767e-05,O+Q+S
0.06,O+Q+S,0.0001571463751144479,O+Q+S
0.065,O+Q+S,0.00013342644725109528,O+Q+S
0.07,O+Q+S,0.0001272786454365943,O+Q+S
0.075,O+Q+S,0.00014996071099598703,O+Q+S
0.08,O+Q+S,8.635839437492543e-05,O+Q+S
0.085,O+Q+S,0.00011523183991415997,O+Q+S
0.09,O+Q+S,0.00011309175661873799,O+Q+S
0.095,O+Q+S,0.00011092802599408483,O+Q+S
0.1,O+Q+S,3.147717590808299e-05,O+Q+S
0.005,Treat all,0.00856062206575832,O+Q+S
0.01,Treat all,0.003553352480231845,O+Q+S
0.015,Treat all,-0.0015047523295131683,O+Q+S
0.02,Treat all,-0.006614470453643342,O+Q+S
0.025,Treat all,-0.011776595943149205,O+Q+S
0.03,Treat all,-0.016991939221206676,O+Q+S
0.035,Treat all,-0.02226132750732692,O+Q+S
0.04,Treat all,-0.027585605254760913,O+Q+S
0.045,Treat all,-0.03296563460164448,O+Q+S
0.05,Treat all,-0.038402295836389974,O+Q+S
0.055,Treat all,-0.04389648787785236,O+Q+S
0.06,Treat all,-0.04944912877081965,O+Q+S
0.065,Treat all,-0.05506115619740158,O+Q+S
0.07,Treat all,-0.06073352800491451,O+Q+S
0.075,Treat all,-0.066467222750887,O+Q+S
0.08,Treat all,-0.07226324026583747,O+Q+S
0.085,Treat all,-0.07812260223450326,O+Q+S
0.09,Treat all,-0.0840463527962313,O+Q+S
0.095,Treat all,-0.09003555916527124,O+Q+S
0.1,Treat all,-0.09609131227174499,O+Q+S
0.005,Treat none,0.0,O+Q+S
0.01,Treat none,0.0,O+Q+S
0.015,Treat none,0.0,O+Q+S
0.02,Treat none,0.0,O+Q+S
0.025,Treat none,0.0,O+Q+S
0.03,Treat none,0.0,O+Q+S
0.035,Treat none,0.0,O+Q+S
0.04,Treat none,0.0,O+Q+S
0.045,Treat none,0.0,O+Q+S
0.05,Treat none,0.0,O+Q+S
0.055,Treat none,0.0,O+Q+S
0.06,Treat none,0.0,O+Q+S
0.065,Treat none,0.0,O+Q+S
0.07,Treat none,0.0,O+Q+S
0.075,Treat none,0.0,O+Q+S
0.08,Treat none,0.0,O+Q+S
0.085,Treat none,0.0,O+Q+S
0.09,Treat none,0.0,O+Q+S
0.095,Treat none,0.0,O+Q+S
0.1,Treat none,0.0,O+Q+S
