Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.007,0.998,0.823,0.368
O,0.01,0.010,0.996,0.347,0.824
O,0.02,0.000,0.995,0.000,0.998
O,0.05,--,0.995,0.000,1.000
O+Q,0.005,0.007,0.997,0.762,0.416
O+Q,0.01,0.008,0.996,0.294,0.813
O+Q,0.02,0.013,0.995,0.057,0.978
O+Q,0.05,--,0.995,0.000,1.000
S,0.005,0.006,0.996,0.767,0.304
S,0.01,0.012,0.996,0.293,0.870
S,0.02,0.000,0.995,0.000,0.998
S,0.05,--,0.995,0.000,1.000
O+S,0.005,0.007,0.998,0.826,0.402
O+S,0.01,0.013,0.997,0.467,0.811
O+S,0.02,0.000,0.995,0.000,0.991
O+S,0.05,--,0.995,0.000,1.000
O+Q+S,0.005,0.006,0.996,0.647,0.420
O+Q+S,0.01,0.010,0.996,0.352,0.817
O+Q+S,0.02,0.016,0.995,0.057,0.981
O+Q+S,0.05,--,0.995,0.000,1.000
