Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.011,0.996,0.669,0.611
O,0.01,0.019,0.995,0.333,0.886
O,0.02,--,0.994,0.000,1.000
O,0.05,--,0.994,0.000,1.000
O+Q,0.005,0.013,0.997,0.716,0.647
O+Q,0.01,0.032,0.996,0.386,0.924
O+Q,0.02,0.000,0.993,0.000,0.995
O+Q,0.05,--,0.994,0.000,1.000
S,0.005,0.009,0.996,0.671,0.513
S,0.01,0.039,0.995,0.334,0.947
S,0.02,--,0.994,0.000,1.000
S,0.05,--,0.994,0.000,1.000
O+S,0.005,0.012,0.997,0.764,0.584
O+S,0.01,0.031,0.996,0.385,0.923
O+S,0.02,0.000,0.994,0.000,1.000
O+S,0.05,--,0.994,0.000,1.000
O+Q+S,0.005,0.012,0.997,0.764,0.604
O+Q+S,0.01,0.033,0.995,0.338,0.936
O+Q+S,0.02,0.000,0.994,0.000,0.999
O+Q+S,0.05,--,0.994,0.000,1.000
