Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.075,0.985,0.225,0.950
O,0.1,0.119,0.983,0.070,0.991
O,0.15,0.000,0.982,0.000,0.999
O,0.2,--,0.982,0.000,1.000
O+Q,0.05,0.234,0.994,0.703,0.958
O+Q,0.1,0.372,0.991,0.530,0.984
O+Q,0.15,0.460,0.989,0.411,0.991
O+Q,0.2,0.502,0.988,0.325,0.994
S,0.05,0.135,0.988,0.329,0.962
S,0.1,0.157,0.983,0.054,0.995
S,0.15,--,0.982,0.000,1.000
S,0.2,--,0.982,0.000,1.000
O+S,0.05,0.110,0.988,0.344,0.950
O+S,0.1,0.168,0.985,0.156,0.986
O+S,0.15,0.295,0.984,0.105,0.995
O+S,0.2,0.142,0.982,0.018,0.998
O+Q+S,0.05,0.237,0.994,0.702,0.959
O+Q+S,0.1,0.392,0.991,0.497,0.986
O+Q+S,0.15,0.489,0.989,0.411,0.992
O+Q+S,0.2,0.548,0.988,0.326,0.995
