Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.016,0.993,0.882,0.244
O,0.01,0.023,0.994,0.749,0.550
O,0.02,0.024,0.987,0.187,0.893
O,0.05,--,0.986,0.000,1.000
O+Q,0.005,0.017,0.995,0.908,0.252
O+Q,0.01,0.024,0.992,0.649,0.628
O+Q,0.02,0.030,0.988,0.186,0.916
O+Q,0.05,0.000,0.986,0.000,0.999
S,0.005,0.015,0.996,0.978,0.085
S,0.01,0.018,0.989,0.559,0.565
S,0.02,0.018,0.986,0.045,0.965
S,0.05,--,0.986,0.000,1.000
O+S,0.005,0.016,0.995,0.930,0.216
O+S,0.01,0.020,0.990,0.582,0.607
O+S,0.02,0.031,0.988,0.209,0.909
O+S,0.05,--,0.986,0.000,1.000
O+Q+S,0.005,0.016,0.995,0.930,0.201
O+Q+S,0.01,0.023,0.992,0.629,0.618
O+Q+S,0.02,0.035,0.988,0.208,0.919
O+Q+S,0.05,0.000,0.986,0.000,1.000
