Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.012,0.997,0.942,0.185
O,0.01,0.015,0.995,0.755,0.481
O,0.02,0.024,0.991,0.237,0.895
O,0.05,--,0.989,0.000,1.000
O+Q,0.005,0.012,0.994,0.879,0.215
O+Q,0.01,0.018,0.996,0.788,0.548
O+Q,0.02,0.021,0.991,0.214,0.891
O+Q,0.05,--,0.989,0.000,1.000
S,0.005,0.011,1.000,1.000,0.019
S,0.01,0.014,0.993,0.701,0.458
S,0.02,0.019,0.990,0.064,0.964
S,0.05,--,0.989,0.000,1.000
O+S,0.005,0.012,0.997,0.971,0.120
O+S,0.01,0.016,0.995,0.788,0.485
O+S,0.02,0.025,0.991,0.209,0.913
O+S,0.05,--,0.989,0.000,1.000
O+Q+S,0.005,0.011,0.994,0.908,0.164
O+Q+S,0.01,0.016,0.994,0.694,0.539
O+Q+S,0.02,0.032,0.992,0.277,0.911
O+Q+S,0.05,--,0.989,0.000,1.000
