Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.012,0.996,0.970,0.094
O,0.01,0.022,0.992,0.451,0.775
O,0.02,0.018,0.989,0.057,0.964
O,0.05,--,0.989,0.000,1.000
O+Q,0.005,0.012,1.000,1.000,0.094
O+Q,0.01,0.023,0.993,0.508,0.750
O+Q,0.02,0.028,0.990,0.116,0.955
O+Q,0.05,0.000,0.989,0.000,1.000
S,0.005,0.011,0.986,0.833,0.133
S,0.01,0.016,0.990,0.344,0.756
S,0.02,0.007,0.989,0.029,0.953
S,0.05,0.000,0.989,0.000,0.997
O+S,0.005,0.011,0.989,0.914,0.090
O+S,0.01,0.017,0.991,0.374,0.755
O+S,0.02,0.007,0.989,0.029,0.955
O+S,0.05,0.000,0.989,0.000,0.999
O+Q+S,0.005,0.012,0.997,0.972,0.118
O+Q+S,0.01,0.020,0.991,0.428,0.756
O+Q+S,0.02,0.007,0.989,0.029,0.954
O+Q+S,0.05,0.000,0.989,0.000,0.999
