Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.022,--,1.000,0.000
O,0.01,0.024,0.988,0.929,0.137
O,0.02,0.034,0.984,0.553,0.642
O,0.05,0.091,0.979,0.083,0.981
O+Q,0.005,0.023,1.000,1.000,0.006
O+Q,0.01,0.024,0.984,0.841,0.230
O+Q,0.02,0.043,0.988,0.640,0.672
O+Q,0.05,0.106,0.981,0.196,0.962
S,0.005,0.022,--,1.000,0.000
S,0.01,0.022,--,1.000,0.000
S,0.02,0.031,0.981,0.401,0.711
S,0.05,0.067,0.978,0.029,0.991
O+S,0.005,0.022,--,1.000,0.000
O+S,0.01,0.024,0.988,0.944,0.107
O+S,0.02,0.038,0.986,0.595,0.656
O+S,0.05,0.078,0.978,0.055,0.985
O+Q+S,0.005,0.022,--,1.000,0.000
O+Q+S,0.01,0.025,0.990,0.928,0.169
O+Q+S,0.02,0.043,0.989,0.668,0.659
O+Q+S,0.05,0.097,0.980,0.154,0.967
