Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.050,--,1.000,0.000
O,0.01,0.050,--,1.000,0.000
O,0.02,0.054,0.988,0.976,0.102
O,0.05,0.103,0.963,0.402,0.816
O+Q,0.005,0.050,--,1.000,0.000
O+Q,0.01,0.050,--,1.000,0.000
O+Q,0.02,0.060,0.988,0.951,0.216
O+Q,0.05,0.118,0.965,0.441,0.826
S,0.005,0.050,--,1.000,0.000
S,0.01,0.050,--,1.000,0.000
S,0.02,0.050,1.000,1.000,0.002
S,0.05,0.089,0.955,0.214,0.884
O+S,0.005,0.050,--,1.000,0.000
O+S,0.01,0.050,--,1.000,0.000
O+S,0.02,0.053,1.000,1.000,0.050
O+S,0.05,0.097,0.960,0.340,0.834
O+Q+S,0.005,0.050,--,1.000,0.000
O+Q+S,0.01,0.050,--,1.000,0.000
O+Q+S,0.02,0.054,0.976,0.934,0.140
O+Q+S,0.05,0.118,0.967,0.467,0.816
