Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.194,0.969,0.915,0.409
O,0.1,0.308,0.942,0.702,0.755
O,0.15,0.438,0.923,0.516,0.897
O,0.2,0.515,0.910,0.396,0.942
O+Q,0.05,0.228,0.965,0.875,0.540
O+Q,0.1,0.340,0.938,0.659,0.802
O+Q,0.15,0.451,0.927,0.545,0.897
O+Q,0.2,0.514,0.912,0.420,0.938
S,0.05,0.150,0.950,0.943,0.168
S,0.1,0.364,0.938,0.648,0.824
S,0.15,0.422,0.917,0.474,0.899
S,0.2,0.435,0.893,0.269,0.946
O+S,0.05,0.209,0.973,0.918,0.460
O+S,0.1,0.364,0.940,0.662,0.821
O+S,0.15,0.446,0.928,0.552,0.893
O+S,0.2,0.563,0.915,0.435,0.948
O+Q+S,0.05,0.230,0.974,0.907,0.529
O+Q+S,0.1,0.388,0.940,0.656,0.839
O+Q+S,0.15,0.487,0.930,0.561,0.908
O+Q+S,0.2,0.521,0.914,0.432,0.938
