Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.008,0.997,0.594,0.641
O,0.01,0.005,0.995,0.133,0.876
O,0.02,0.000,0.995,0.000,0.995
O,0.05,0.000,0.995,0.000,1.000
O+Q,0.005,0.007,0.997,0.598,0.610
O+Q,0.01,0.013,0.997,0.334,0.886
O+Q,0.02,0.000,0.995,0.000,0.986
O+Q,0.05,--,0.995,0.000,1.000
S,0.005,0.003,0.994,0.329,0.560
S,0.01,0.000,0.995,0.000,0.925
S,0.02,0.000,0.995,0.000,0.992
S,0.05,0.000,0.995,0.000,0.999
O+S,0.005,0.006,0.996,0.527,0.595
O+S,0.01,0.003,0.995,0.067,0.901
O+S,0.02,0.000,0.995,0.000,0.992
O+S,0.05,0.000,0.995,0.000,0.999
O+Q+S,0.005,0.006,0.996,0.527,0.606
O+Q+S,0.01,0.003,0.995,0.066,0.890
O+Q+S,0.02,0.000,0.995,0.000,0.985
O+Q+S,0.05,0.000,0.995,0.000,0.999
