Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.145,0.964,0.008,0.998
O,0.1,--,0.963,0.000,1.000
O,0.15,--,0.963,0.000,1.000
O,0.2,--,0.963,0.000,1.000
O+Q,0.05,0.000,0.963,0.000,0.999
O+Q,0.1,--,0.963,0.000,1.000
O+Q,0.15,--,0.963,0.000,1.000
O+Q,0.2,--,0.963,0.000,1.000
S,0.05,0.012,0.963,0.008,0.974
S,0.1,--,0.963,0.000,1.000
S,0.15,--,0.963,0.000,1.000
S,0.2,--,0.963,0.000,1.000
O+S,0.05,0.012,0.963,0.008,0.973
O+S,0.1,--,0.963,0.000,1.000
O+S,0.15,--,0.963,0.000,1.000
O+S,0.2,--,0.963,0.000,1.000
O+Q+S,0.05,0.073,0.985,0.737,0.644
O+Q+S,0.1,0.099,0.964,0.036,0.988
O+Q+S,0.15,0.000,0.963,0.000,0.999
O+Q+S,0.2,--,0.963,0.000,1.000
