Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.612,8.265,3.534,0.035,0.145,0.964,--,0.963,--,0.963,--,0.963,ref
O+Q,0.575,3.793,2.160,0.035,0.000,0.963,--,0.963,--,0.963,--,0.963,-0.237
S,0.517,-4.292,-0.311,0.035,0.012,0.963,--,0.963,--,0.963,--,0.963,-0.193
O+S,0.535,-2.334,0.284,0.035,0.012,0.963,--,0.963,--,0.963,--,0.963,-0.139
O+Q+S,0.759,1.100,1.402,0.034,0.073,0.985,0.099,0.964,0.000,0.963,--,0.963,0.726
