threshold,strategy,net_benefit,model
0.22,Treat all,-0.25819308988818584,O+Q
0.23,Treat all,-0.27453325988673366,O+Q
0.24,Treat all,-0.2913034343589275,O+Q
0.25,Treat all,-0.30852081348371324,O+Q
0.26,Treat all,-0.3262035271794391,O+Q
0.27,Treat all,-0.34437069878463694,O+Q
0.28,Treat all,-0.3630425140455347,O+Q
0.29,Treat all,-0.38224029593349995,O+Q
0.3,Treat all,-0.4019865858754071,O+Q
0.31,Treat all,-0.42230523204751447,O+Q
0.32,Treat all,-0.4432214854599779,O+Q
0.33,Treat all,-0.46476210464594775,O+Q
0.34,Treat all,-0.4869554698678561,O+Q
0.35,Treat all,-0.509831707865823,O+Q
0.02,Treat none,0.0,O+Q
0.03,Treat none,0.0,O+Q
0.04,Treat none,0.0,O+Q
0.05,Treat none,0.0,O+Q
0.06,Treat none,0.0,O+Q
0.07,Treat none,0.0,O+Q
0.08,Treat none,0.0,O+Q
0.09,Treat none,0.0,O+Q
0.1,Treat none,0.0,O+Q
0.11,Treat none,0.0,O+Q
0.12,Treat none,0.0,O+Q
0.13,Treat none,0.0,O+Q
0.14,Treat none,0.0,O+Q
0.15,Treat none,0.0,O+Q
0.16,Treat none,0.0,O+Q
0.17,Treat none,0.0,O+Q
0.18,Treat none,0.0,O+Q
0.19,Treat none,0.0,O+Q
0.2,Treat none,0.0,O+Q
0.21,Treat none,0.0,O+Q
0.22,Treat none,0.0,O+Q
0.23,Treat none,0.0,O+Q
0.24,Treat none,0.0,O+Q
0.25,Treat none,0.0,O+Q
0.26,Treat none,0.0,O+Q
0.27,Treat none,0.0,O+Q
0.28,Treat none,0.0,O+Q
0.29,Treat none,0.0,O+Q
0.3,Treat none,0.0,O+Q
0.31,Treat none,0.0,O+Q
0.32,Treat none,0.0,O+Q
0.33,Treat none,0.0,O+Q
0.34,Treat none,0.0,O+Q
0.35,Treat none,0.0,O+Q
0.02,S,-0.0006506751472657498,S
0.03,S,-0.00021543265437694938,S
0.04,S,-3.4615262126571506e-05,S
0.05,S,-1.009027883851477e-05,S
0.06,S,0.0,S
0.07,S,0.0,S
0.08,S,0.0,S
0.09,S,0.0,S
0.1,S,0.0,S
0.11,S,0.0,S
0.12,S,0.0,S
0.13,S,0.0,S
0.14,S,0.0,S
0.15,S,0.0,S
0.16,S,0.0,S
0.17,S,0.0,S
0.18,S,0.0,S
0.19,S,0.0,S
0.2,S,0.0,S
0.21,S,0.0,S
0.22,S,0.0,S
0.23,S,0.0,S
0.24,S,0.0,S
0.25,S,0.0,S
0.26,S,0.0,S
0.27,S,0.0,S
0.28,S,0.0,S
0.29,S,0.0,S
0.3,S,0.0,S
0.31,S,0.0,S
0.32,S,0.0,S
0.33,S,0.0,S
0.34,S,0.0,S
0.35,S,0.0,S
0.02,Treat all,-0.0014189899110050586,S
0.03,Treat all,-0.011742897023489646,S
0.04,Treat all,-0.022281885534151,S
0.05,Treat all,-0.03304274748714206,S
0.06,Treat all,-0.04403256394977123,S
0.07,Treat all,-0.05525872055138169,S
0.08,Treat all,-0.06672892403563582,S
0.09,Treat all,-0.07845121990415929,S
0.1,Treat all,-0.09043401123642773,S
0.11,Treat all,-0.10268607877841006,S
0.12,Treat all,-0.11521660240089197,S
0.13,Treat all,-0.12803518403768385,S
0.14,Treat all,-0.14115187222416856,S
0.15,Treat all,-0.1545771883679823,S
0.16,Treat all,-0.16832215489617258,S
0.17,Treat all,-0.1823983254370903,S
0.18,Treat all,-0.19681781721071331,S
0.19,Treat all,-0.211593345818253,S
0.2,Treat all,-0.22673826264098118,S
0.21,Treat all,-0.24226659507947457,S
0.22,Treat all,-0.25819308988818584,S
0.23,Treat all,-0.27453325988673366,S
0.24,Treat all,-0.2913034343589275,S
0.25,Treat all,-0.30852081348371324,S
0.26,Treat all,-0.3262035271794391,S
0.27,Treat all,-0.34437069878463694,S
0.28,Treat all,-0.3630425140455347,S
0.29,Treat all,-0.38224029593349995,S
0.3,Treat all,-0.4019865858754071,S
0.31,Treat all,-0.42230523204751447,S
0.32,Treat all,-0.4432214854599779,S
0.33,Treat all,-0.46476210464594775,S
0.34,Treat all,-0.4869554698678561,S
0.35,Treat all,-0.509831707865823,S
0.02,Treat none,0.0,S
0.03,Treat none,0.0,S
0.04,Treat none,0.0,S
0.05,Treat none,0.0,S
0.06,Treat none,0.0,S
0.07,Treat none,0.0,S
0.08,Treat none,0.0,S
0.09,Treat none,0.0,S
0.1,Treat none,0.0,S
0.11,Treat none,0.0,S
0.12,Treat none,0.0,S
0.13,Treat none,0.0,S
0.14,Treat none,0.0,S
0.15,Treat none,0.0,S
0.16,Treat none,0.0,S
0.17,Treat none,0.0,S
0.18,Treat none,0.0,S
0.19,Treat none,0.0,S
0.2,Treat none,0.0,S
0.21,Treat none,0.0,S
0.22,Treat none,0.0,S
0.23,Treat none,0.0,S
0.24,Treat none,0.0,S
0.25,Treat none,0.0,S
0.26,Treat none,0.0,S
0.27,Treat none,0.0,S
0.28,Treat none,0.0,S
0.29,Treat none,0.0,S
0.3,Treat none,0.0,S
0.31,Treat none,0.0,S
0.32,Treat none,0.0,S
0.33,Treat none,0.0,S
0.34,Treat none,0.0,S
0.35,Treat none,0.0,S
0.02,O+S,-0.0004031612241029263,O+S
0.03,O+S,-0.00014039191890112974,O+S
0.04,O+S,-3.727797459784624e-05,O+S
0.05,O+S,-6.726852559009847e-06,O+S
0.06,O+S,0.0,O+S
0.07,O+S,0.0,O+S
0.08,O+S,0.0,O+S
0.09,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.11,O+S,0.0,O+S
0.12,O+S,0.0,O+S
0.13,O+S,0.0,O+S
0.14,O+S,0.0,O+S
0.15,O+S,0.0,O+S
0.16,O+S,0.0,O+S
0.17,O+S,0.0,O+S
0.18,O+S,0.0,O+S
0.19,O+S,0.0,O+S
0.2,O+S,0.0,O+S
0.21,O+S,0.0,O+S
0.22,O+S,0.0,O+S
0.23,O+S,0.0,O+S
0.24,O+S,0.0,O+S
0.25,O+S,0.0,O+S
0.26,O+S,0.0,O+S
0.27,O+S,0.0,O+S
0.28,O+S,0.0,O+S
0.29,O+S,0.0,O+S
0.3,O+S,0.0,O+S
0.31,O+S,0.0,O+S
0.32,O+S,0.0,O+S
0.33,O+S,0.0,O+S
0.34,O+S,0.0,O+S
0.35,O+S,0.0,O+S
0.02,Treat all,-0.0014189899110050586,O+S
0.03,Treat all,-0.011742897023489646,O+S
0.04,Treat all,-0.022281885534151,O+S
0.05,Treat all,-0.03304274748714206,O+S
0.06,Treat all,-0.04403256394977123,O+S
0.07,Treat all,-0.05525872055138169,O+S
0.08,Treat all,-0.06672892403563582,O+S
0.09,Treat all,-0.07845121990415929,O+S
0.1,Treat all,-0.09043401123642773,O+S
0.11,Treat all,-0.10268607877841006,O+S
0.12,Treat all,-0.11521660240089197,O+S
0.13,Treat all,-0.12803518403768385,O+S
0.14,Treat all,-0.14115187222416856,O+S
0.15,Treat all,-0.1545771883679823,O+S
0.16,Treat all,-0.16832215489617258,O+S
0.17,Treat all,-0.1823983254370903,O+S
0.18,Treat all,-0.19681781721071331,O+S
0.19,Treat all,-0.211593345818253,O+S
0.2,Treat all,-0.22673826264098118,O+S
0.21,Treat all,-0.24226659507947457,O+S
0.22,Treat all,-0.25819308988818584,O+S
0.23,Treat all,-0.27453325988673366,O+S
0.24,Treat all,-0.2913034343589275,O+S
0.25,Treat all,-0.30852081348371324,O+S
0.26,Treat all,-0.3262035271794391,O+S
0.27,Treat all,-0.34437069878463694,O+S
0.28,Treat all,-0.3630425140455347,O+S
0.29,Treat all,-0.38224029593349995,O+S
0.3,Treat all,-0.4019865858754071,O+S
0.31,Treat all,-0.42230523204751447,O+S
0.32,Treat all,-0.4432214854599779,O+S
0.33,Treat all,-0.46476210464594775,O+S
0.34,Treat all,-0.4869554698678561,O+S
0.35,Treat all,-0.509831707865823,O+S
0.02,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
0.04,Treat none,0.0,O+S
0.05,Treat none,0.0,O+S
0.06,Treat none,0.0,O+S
0.07,Treat none,0.0,O+S
0.08,Treat none,0.0,O+S
0.09,Treat none,0.0,O+S
0.1,Treat none,0.0,O+S
0.11,Treat none,0.0,O+S
0.12,Treat none,0.0,O+S
0.13,Treat none,0.0,O+S
0.14,Treat none,0.0,O+S
0.15,Treat none,0.0,O+S
0.16,Treat none,0.0,O+S
0.17,Treat none,0.0,O+S
0.18,Treat none,0.0,O+S
0.19,Treat none,0.0,O+S
0.2,Treat none,0.0,O+S
0.21,Treat none,0.0,O+S
0.22,Treat none,0.0,O+S
0.23,Treat none,0.0,O+S
0.24,Treat none,0.0,O+S
0.25,Treat none,0.0,O+S
0.26,Treat none,0.0,O+S
0.27,Treat none,0.0,O+S
0.28,Treat none,0.0,O+S
0.29,Treat none,0.0,O+S
0.3,Treat none,0.0,O+S
0.31,Treat none,0.0,O+S
0.32,Treat none,0.0,O+S
0.33,Treat none,0.0,O+S
0.34,Treat none,0.0,O+S
0.35,Treat none,0.0,O+S
0.02,O+O+Q+S,0.006124951618020319,O+O+Q+S
0.03,O+O+Q+S,0.0038189636251538305,O+O+Q+S
0.04,O+O+Q+S,0.0020112395848670386,O+O+Q+S
0.05,O+O+Q+S,0.00031001416927272307,O+O+Q+S
0.06,O+O+Q+S,0.00010460909958420192,O+O+Q+S
0.07,O+O+Q+S,9.209131170828682e-05,O+O+Q+S
0.08,O+O+Q+S,-3.33417909446575e-05,O+O+Q+S
0.09,O+O+Q+S,-1.2640569094403117e-05,O+O+Q+S
0.1,O+O+Q+S,-7.1005665900659495e-06,O+O+Q+S
0.11,O+O+Q+S,0.0,O+O+Q+S
0.12,O+O+Q+S,0.0,O+O+Q+S
0.13,O+O+Q+S,0.0,O+O+Q+S
0.14,O+O+Q+S,0.0,O+O+Q+S
0.15,O+O+Q+S,0.0,O+O+Q+S
0.16,O+O+Q+S,0.0,O+O+Q+S
0.17,O+O+Q+S,0.0,O+O+Q+S
0.18,O+O+Q+S,0.0,O+O+Q+S
0.19,O+O+Q+S,0.0,O+O+Q+S
0.2,O+O+Q+S,0.0,O+O+Q+S
0.21,O+O+Q+S,0.0,O+O+Q+S
0.22,O+O+Q+S,0.0,O+O+Q+S
0.23,O+O+Q+S,0.0,O+O+Q+S
0.24,O+O+Q+S,0.0,O+O+Q+S
0.25,O+O+Q+S,0.0,O+O+Q+S
0.26,O+O+Q+S,0.0,O+O+Q+S
0.27,O+O+Q+S,0.0,O+O+Q+S
0.28,O+O+Q+S,0.0,O+O+Q+S
0.29,O+O+Q+S,0.0,O+O+Q+S
0.3,O+O+Q+S,0.0,O+O+Q+S
0.31,O+O+Q+S,0.0,O+O+Q+S
0.32,O+O+Q+S,0.0,O+O+Q+S
0.33,O+O+Q+S,0.0,O+O+Q+S
0.34,O+O+Q+S,0.0,O+O+Q+S
0.35,O+O+Q+S,0.0,O+O+Q+S
0.02,Treat all,-0.0014189899110050586,O+O+Q+S
0.03,Treat all,-0.011742897023489646,O+O+Q+S
