Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.012,1.000,1.000,0.074
O,0.01,0.027,0.993,0.527,0.782
O,0.02,0.107,0.990,0.134,0.987
O,0.05,--,0.988,0.000,1.000
O+Q,0.005,0.012,1.000,1.000,0.004
O+Q,0.01,0.025,0.993,0.580,0.732
O+Q,0.02,0.080,0.990,0.166,0.978
O+Q,0.05,--,0.988,0.000,1.000
S,0.005,0.012,--,1.000,0.000
S,0.01,0.024,0.993,0.580,0.724
S,0.02,0.089,0.989,0.054,0.993
S,0.05,--,0.988,0.000,1.000
O+S,0.005,0.012,1.000,1.000,0.003
O+S,0.01,0.024,0.993,0.579,0.728
O+S,0.02,0.041,0.989,0.081,0.978
O+S,0.05,--,0.988,0.000,1.000
O+Q+S,0.005,0.012,1.000,1.000,0.001
O+Q+S,0.01,0.027,0.994,0.636,0.730
O+Q+S,0.02,0.048,0.989,0.081,0.981
O+Q+S,0.05,--,0.988,0.000,1.000
