Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.106,0.981,0.526,0.844
O,0.1,0.163,0.973,0.263,0.952
O,0.15,0.233,0.970,0.141,0.984
O,0.2,0.220,0.968,0.084,0.989
O+Q,0.05,0.180,0.988,0.690,0.889
O+Q,0.1,0.301,0.980,0.451,0.963
O+Q,0.15,0.385,0.977,0.347,0.980
O+Q,0.2,0.477,0.976,0.319,0.988
S,0.05,0.100,0.978,0.460,0.853
S,0.1,0.153,0.972,0.232,0.955
S,0.15,0.228,0.971,0.158,0.981
S,0.2,0.269,0.968,0.083,0.992
O+S,0.05,0.119,0.981,0.527,0.862
O+S,0.1,0.186,0.976,0.355,0.945
O+S,0.15,0.220,0.972,0.203,0.975
O+S,0.2,0.172,0.968,0.084,0.986
O+Q+S,0.05,0.174,0.987,0.671,0.888
O+Q+S,0.1,0.284,0.981,0.478,0.957
O+Q+S,0.15,0.363,0.978,0.374,0.977
O+Q+S,0.2,0.425,0.975,0.281,0.987
