Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.574,0.440,1.044,0.006,0.007,0.994,--,0.994,--,0.994,--,0.994,ref
O+Q,0.595,0.245,1.004,0.006,0.009,0.996,0.009,0.994,0.000,0.994,--,0.994,0.153
S,0.834,3.146,1.612,0.006,0.015,0.998,0.037,0.998,0.036,0.994,--,0.994,0.920
O+S,0.830,3.991,1.783,0.006,0.015,0.998,0.042,0.998,0.056,0.995,--,0.994,1.006
O+Q+S,0.814,2.822,1.543,0.006,0.017,0.999,0.032,0.997,0.076,0.996,0.000,0.994,1.063
