Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.007,0.994,0.478,0.569
O,0.01,--,0.994,0.000,1.000
O,0.02,--,0.994,0.000,1.000
O,0.05,--,0.994,0.000,1.000
O+Q,0.005,0.009,0.996,0.524,0.652
O+Q,0.01,0.009,0.994,0.052,0.965
O+Q,0.02,0.000,0.994,0.000,1.000
O+Q,0.05,--,0.994,0.000,1.000
S,0.005,0.015,0.998,0.799,0.688
S,0.01,0.037,0.998,0.636,0.899
S,0.02,0.036,0.994,0.106,0.983
S,0.05,--,0.994,0.000,1.000
O+S,0.005,0.015,0.998,0.799,0.673
O+S,0.01,0.042,0.998,0.688,0.903
O+S,0.02,0.056,0.995,0.109,0.989
O+S,0.05,--,0.994,0.000,1.000
O+Q+S,0.005,0.017,0.999,0.848,0.707
O+Q+S,0.01,0.032,0.997,0.530,0.903
O+Q+S,0.02,0.076,0.996,0.313,0.977
O+Q+S,0.05,0.000,0.994,0.000,1.000
