Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.021,--,1.000,0.000
O,0.01,0.024,0.996,0.970,0.144
O,0.02,0.077,0.987,0.452,0.884
O,0.05,--,0.979,0.000,1.000
O+Q,0.005,0.021,--,1.000,0.000
O+Q,0.01,0.022,1.000,1.000,0.045
O+Q,0.02,0.064,0.988,0.509,0.841
O+Q,0.05,0.143,0.979,0.014,0.998
S,0.005,0.021,--,1.000,0.000
S,0.01,0.021,--,1.000,0.000
S,0.02,0.057,0.986,0.452,0.839
S,0.05,--,0.979,0.000,1.000
O+S,0.005,0.021,--,1.000,0.000
O+S,0.01,0.022,1.000,1.000,0.039
O+S,0.02,0.053,0.985,0.398,0.847
O+S,0.05,--,0.979,0.000,1.000
O+Q+S,0.005,0.021,--,1.000,0.000
O+Q+S,0.01,0.021,1.000,1.000,0.013
O+Q+S,0.02,0.052,0.985,0.414,0.837
O+Q+S,0.05,0.000,0.979,0.000,0.998
