Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.050,0.988,0.212,0.941
O,0.1,0.116,0.986,0.064,0.993
O,0.15,0.000,0.985,0.000,0.999
O,0.2,--,0.986,0.000,1.000
O+Q,0.05,0.216,0.997,0.782,0.958
O+Q,0.1,0.355,0.995,0.634,0.983
O+Q,0.15,0.408,0.992,0.443,0.991
O+Q,0.2,0.363,0.990,0.316,0.992
S,0.05,0.073,0.988,0.232,0.956
S,0.1,0.131,0.987,0.084,0.992
S,0.15,0.000,0.985,0.000,0.997
S,0.2,--,0.986,0.000,1.000
O+S,0.05,0.078,0.989,0.296,0.948
O+S,0.1,0.093,0.987,0.107,0.985
O+S,0.15,0.121,0.986,0.064,0.993
O+S,0.2,0.194,0.986,0.043,0.997
O+Q+S,0.05,0.208,0.997,0.803,0.955
O+Q+S,0.1,0.318,0.993,0.549,0.983
O+Q+S,0.15,0.334,0.991,0.379,0.989
O+Q+S,0.2,0.397,0.990,0.336,0.992
