Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.074,0.934,0.956,0.050
O,0.1,0.117,0.926,0.009,0.995
O,0.15,--,0.926,0.000,1.000
O,0.2,--,0.926,0.000,1.000
O+Q,0.05,0.070,0.873,0.896,0.057
O+Q,0.1,0.076,0.926,0.041,0.960
O+Q,0.15,--,0.926,0.000,1.000
O+Q,0.2,--,0.926,0.000,1.000
S,0.05,0.071,0.887,0.890,0.069
S,0.1,0.142,0.927,0.018,0.991
S,0.15,--,0.926,0.000,1.000
S,0.2,--,0.926,0.000,1.000
O+S,0.05,0.072,0.897,0.898,0.071
O+S,0.1,0.052,0.926,0.008,0.988
O+S,0.15,--,0.926,0.000,1.000
O+S,0.2,--,0.926,0.000,1.000
O+Q+S,0.05,0.107,0.999,0.996,0.338
O+Q+S,0.1,0.123,0.956,0.629,0.641
O+Q+S,0.15,0.185,0.930,0.079,0.972
O+Q+S,0.2,0.395,0.927,0.014,0.998
