Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.517,-4.411,-0.727,0.069,0.074,0.934,0.117,0.926,--,0.926,--,0.926,ref
O+Q,0.506,-3.998,-0.566,0.069,0.070,0.873,0.076,0.926,--,0.926,--,0.926,-0.029
S,0.495,-4.500,-0.758,0.069,0.071,0.887,0.142,0.927,--,0.926,--,0.926,0.023
O+S,0.500,-4.985,-0.948,0.069,0.072,0.897,0.052,0.926,--,0.926,--,0.926,-0.012
O+Q+S,0.713,0.298,1.131,0.065,0.107,0.999,0.123,0.956,0.185,0.930,0.395,0.927,0.632
