Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.016,0.995,0.904,0.249
O,0.01,0.018,0.992,0.706,0.485
O,0.02,0.035,0.989,0.270,0.900
O,0.05,--,0.987,0.000,1.000
O+Q,0.005,0.016,0.994,0.876,0.256
O+Q,0.01,0.018,0.990,0.578,0.565
O+Q,0.02,0.024,0.988,0.173,0.904
O+Q,0.05,--,0.987,0.000,1.000
S,0.005,0.015,1.000,1.000,0.097
S,0.01,0.019,0.992,0.709,0.515
S,0.02,0.032,0.988,0.122,0.950
S,0.05,--,0.987,0.000,1.000
O+S,0.005,0.015,0.995,0.925,0.199
O+S,0.01,0.019,0.992,0.712,0.511
O+S,0.02,0.019,0.987,0.119,0.916
O+S,0.05,--,0.987,0.000,1.000
O+Q+S,0.005,0.016,0.995,0.925,0.224
O+Q+S,0.01,0.018,0.990,0.586,0.571
O+Q+S,0.02,0.014,0.987,0.099,0.907
O+Q+S,0.05,--,0.987,0.000,1.000
