Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.562,-1.586,0.399,0.063,0.069,0.946,0.050,0.932,--,0.932,--,0.932,ref
O+Q,0.547,-2.613,0.004,0.063,0.067,0.926,0.100,0.933,--,0.932,--,0.932,-0.045
S,0.505,-4.170,-0.592,0.064,0.065,0.889,0.064,0.932,0.122,0.933,--,0.932,-0.130
O+S,0.527,-3.229,-0.232,0.063,0.066,0.910,0.052,0.932,--,0.932,--,0.932,0.012
O+Q+S,0.714,-0.196,0.916,0.061,0.103,0.995,0.118,0.955,0.155,0.938,0.088,0.932,0.661
