Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.069,0.946,0.929,0.091
O,0.1,0.050,0.932,0.015,0.980
O,0.15,--,0.932,0.000,1.000
O,0.2,--,0.932,0.000,1.000
O+Q,0.05,0.067,0.926,0.919,0.074
O+Q,0.1,0.100,0.933,0.030,0.980
O+Q,0.15,--,0.932,0.000,1.000
O+Q,0.2,--,0.932,0.000,1.000
S,0.05,0.065,0.889,0.906,0.054
S,0.1,0.064,0.932,0.024,0.975
S,0.15,0.122,0.933,0.007,0.996
S,0.2,--,0.932,0.000,1.000
O+S,0.05,0.066,0.910,0.892,0.080
O+S,0.1,0.052,0.932,0.023,0.969
O+S,0.15,--,0.932,0.000,1.000
O+S,0.2,--,0.932,0.000,1.000
O+Q+S,0.05,0.103,0.995,0.975,0.386
O+Q+S,0.1,0.118,0.955,0.546,0.705
O+Q+S,0.15,0.155,0.938,0.151,0.940
O+Q+S,0.2,0.088,0.932,0.010,0.993
