Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.004,0.991,0.227,0.635
O,0.01,0.000,0.993,0.000,0.995
O,0.02,--,0.993,0.000,1.000
O,0.05,--,0.993,0.000,1.000
O+Q,0.005,0.012,0.995,0.544,0.672
O+Q,0.01,0.017,0.993,0.046,0.981
O+Q,0.02,--,0.993,0.000,1.000
O+Q,0.05,--,0.993,0.000,1.000
S,0.005,0.016,0.997,0.726,0.682
S,0.01,0.028,0.995,0.419,0.898
S,0.02,0.057,0.994,0.142,0.983
S,0.05,--,0.993,0.000,1.000
O+S,0.005,0.019,0.998,0.814,0.697
O+S,0.01,0.030,0.995,0.418,0.904
O+S,0.02,0.048,0.994,0.142,0.980
O+S,0.05,--,0.993,0.000,1.000
O+Q+S,0.005,0.018,0.998,0.814,0.690
O+Q+S,0.01,0.044,0.997,0.594,0.908
O+Q+S,0.02,0.038,0.993,0.094,0.983
O+Q+S,0.05,0.000,0.993,0.000,0.999
