Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.005,0.994,0.500,0.470
O,0.01,0.015,0.994,0.051,0.981
O,0.02,--,0.994,0.000,1.000
O,0.05,--,0.994,0.000,1.000
O+Q,0.005,0.010,0.998,0.778,0.545
O+Q,0.01,0.007,0.994,0.051,0.961
O+Q,0.02,--,0.994,0.000,1.000
O+Q,0.05,--,0.994,0.000,1.000
S,0.005,0.010,0.997,0.666,0.617
S,0.01,0.016,0.995,0.279,0.901
S,0.02,0.000,0.994,0.000,0.990
S,0.05,--,0.994,0.000,1.000
O+S,0.005,0.011,0.997,0.718,0.611
O+S,0.01,0.013,0.995,0.217,0.907
O+S,0.02,0.000,0.994,0.000,0.994
O+S,0.05,--,0.994,0.000,1.000
O+Q+S,0.005,0.010,0.997,0.666,0.615
O+Q+S,0.01,0.023,0.996,0.391,0.903
O+Q+S,0.02,0.000,0.994,0.000,0.990
O+Q+S,0.05,--,0.994,0.000,1.000
