Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.013,0.983,0.918,0.065
O,0.01,0.014,0.987,0.400,0.615
O,0.02,0.180,0.987,0.059,0.996
O,0.05,--,0.986,0.000,1.000
O+Q,0.005,0.014,1.000,1.000,0.030
O+Q,0.01,0.020,0.990,0.511,0.647
O+Q,0.02,0.025,0.986,0.024,0.987
O+Q,0.05,--,0.986,0.000,1.000
S,0.005,0.021,0.995,0.845,0.445
S,0.01,0.031,0.992,0.597,0.736
S,0.02,0.060,0.990,0.306,0.933
S,0.05,0.067,0.987,0.049,0.991
O+S,0.005,0.021,0.995,0.845,0.439
O+S,0.01,0.034,0.993,0.620,0.757
O+S,0.02,0.062,0.990,0.330,0.931
O+S,0.05,0.107,0.987,0.049,0.994
O+Q+S,0.005,0.021,0.996,0.871,0.439
O+Q+S,0.01,0.037,0.994,0.662,0.757
O+Q+S,0.02,0.065,0.991,0.364,0.927
O+Q+S,0.05,0.031,0.986,0.026,0.989
