Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.089,0.978,0.453,0.838
O,0.1,0.165,0.975,0.291,0.949
O,0.15,0.262,0.972,0.192,0.981
O,0.2,0.343,0.970,0.104,0.993
O+Q,0.05,0.159,0.986,0.629,0.884
O+Q,0.1,0.281,0.981,0.474,0.958
O+Q,0.15,0.390,0.979,0.387,0.979
O+Q,0.2,0.457,0.976,0.307,0.987
S,0.05,0.108,0.981,0.530,0.847
S,0.1,0.171,0.973,0.249,0.958
S,0.15,0.213,0.971,0.153,0.980
S,0.2,0.233,0.969,0.105,0.988
O+S,0.05,0.109,0.981,0.538,0.846
O+S,0.1,0.185,0.976,0.319,0.951
O+S,0.15,0.217,0.971,0.162,0.980
O+S,0.2,0.255,0.970,0.114,0.988
O+Q+S,0.05,0.155,0.985,0.611,0.884
O+Q+S,0.1,0.291,0.982,0.483,0.959
O+Q+S,0.15,0.415,0.981,0.444,0.978
O+Q+S,0.2,0.467,0.977,0.337,0.987
