threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.02,0.018943153262942717,0.013763423998109002,0.024595213912543292
0.03,0.01739465331562167,0.012103456078798924,0.023035911839309867
0.04,0.016566117253380672,0.011539186488745619,0.022226364018821512
0.05,0.014646035855485575,0.00990962863988662,0.019823565343444347
0.06,0.013424118769798486,0.008851620089659373,0.018273442969815416
0.07,0.013164787967891518,0.008605774650441643,0.01798679293343508
0.08,0.013302166850675477,0.008755475791430333,0.01825902562435993
0.09,0.01325384358047173,0.008739868100239277,0.018301521385301788
0.1,0.011803626779843233,0.007374823339628068,0.016509286292136424
0.11,0.011500543585363527,0.0071578170086788505,0.016229509975912024
0.12,0.01047842197002067,0.00654790998355567,0.015046343378903874
0.13,0.010678272874828754,0.006732294308142558,0.015227937640171867
0.14,0.010804486448496893,0.006804229048517183,0.015450381940437567
0.15,0.011198072799703683,0.007228814927286272,0.015873367351661814
0.16,0.010841708232214631,0.006948619278666365,0.015551812898014196
0.17,0.010635284258921423,0.006754145029209738,0.015429432515397603
0.18,0.010197926023082372,0.006386897929919602,0.014725813039300024
0.19,0.008896771019178944,0.005201030931155765,0.01317250038036325
0.2,0.008140917723567946,0.004438404797549458,0.012317938896580368
0.21,0.007738742332969263,0.003947194398179664,0.011844143916391223
0.22,0.007299222920418249,0.0035613678817500182,0.011445760555138487
0.23,0.007716777009415949,0.004006731060382207,0.011694252277224407
0.24,0.007306049257377365,0.0036607763778077305,0.011327733549396625
0.25,0.007259183788961421,0.0036639005081126478,0.011258986818896845
0.26,0.006902600773988069,0.0033465192075126317,0.01096466914968286
0.27,0.006395828397430869,0.0028686358545318095,0.010232641169985592
0.28,0.006633079816223987,0.003224672390079183,0.010428806633502449
0.29,0.00662366609689887,0.0030905154444600272,0.01046090401660323
0.3,0.006288338045497704,0.002740277156565305,0.010048123681769466
0.31,0.005779632112147676,0.0023735491265567004,0.009401345407061288
0.32,0.005954579341087254,0.0026515190361384475,0.009642312851567955
0.33,0.00582335814364842,0.002482064786787497,0.009519577882338122
0.34,0.005382108989174555,0.0020229793321592314,0.009112515688603811
0.35,0.005311603863973069,0.0019425816308145701,0.008921756599853609
