threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.02,0.017193943921811273,0.011986664925830622,0.0231266330385896
0.03,0.014351009704710455,0.009416459470552321,0.019813462681903773
0.04,0.012405015370560882,0.007379838231512308,0.017615503414567166
0.05,0.010306003725409432,0.005718653770378182,0.0152451389712168
0.06,0.008968712851126976,0.004680671562197824,0.013484746873368534
0.07,0.007679617353564696,0.0035056252405951957,0.012295341885736522
0.08,0.006454377387193908,0.0025165474616700447,0.010794714169539386
0.09,0.006407016371246686,0.0025437535866312993,0.01050453499875057
0.1,0.005436919566720492,0.0017082203548323424,0.00944818319512125
0.11,0.005359854891021611,0.0017338389100826292,0.009390218535014892
0.12,0.00437683773023874,0.0011730294786203718,0.008097356242555588
0.13,0.00311394342726164,5.446255910420639e-05,0.006600492783812136
0.14,0.001966712090023995,-0.0008248157552983824,0.004862233054541143
0.15,0.0019627144715030588,-0.0005351803323703485,0.004701472641800085
0.16,0.001662312300882223,-0.0008075453520495923,0.004278165611348557
0.17,0.001639374456834735,-0.0007639817142995207,0.004205086363314998
0.18,0.001668382547968427,-0.0007191848039765019,0.004297593440898296
0.19,0.0012405598981316101,-0.0010961850626481754,0.0037589359613787736
0.2,0.0010617011541570532,-0.00107950637599922,0.0037040878387014954
0.21,0.0008049072427523238,-0.001334588124289366,0.0032223732192249266
0.22,0.0008440585695541321,-0.001205084471180938,0.0031243634249714432
0.23,0.0008953433661696679,-0.0010256758148480733,0.002970929703033093
0.24,0.0010099587610450957,-0.0009479164350846694,0.0032153841219901697
0.25,0.0011441141038110467,-0.0008331613432312548,0.003282575049942021
0.26,0.0010863015108625131,-0.0007262146904077773,0.0030974113072791036
0.27,0.0013906121858959747,-0.0003132444816655462,0.003381540893257567
0.28,0.0014549489524305105,-0.0002782587031571633,0.003478059548848217
0.29,0.001976603644790652,0.0003716553713639174,0.0038827164719869877
0.3,0.0016501512498394131,9.355786855704775e-05,0.003446926506773358
0.31,0.001621964083919795,3.4677972153481766e-05,0.003415006791089786
0.32,0.0012618146275264943,-0.00023831023683825264,0.00302668133813436
0.33,0.0013978458178790561,-0.00013302485607329844,0.0031642125497162977
0.34,0.001063664992876517,-0.0003823285618259924,0.002624299478571813
0.35,0.0007012765762658291,-0.000566780964349679,0.002115547903387468
