threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.02,0.01625685723954722,0.010726990308411195,0.021837281391168084
0.03,0.011737592139054566,0.006717667973781363,0.016980329961952867
0.04,0.009244692567649489,0.004440886964480876,0.014150029655990071
0.05,0.00704401963533924,0.002492752112361505,0.011818026161138938
0.06,0.005985782132493546,0.001969936793079449,0.010262472811277594
0.07,0.0050453973648259855,0.0012721416156415294,0.009155764534440518
0.08,0.004583921559602829,0.0007839721730868736,0.008870071586304429
0.09,0.004465929371836045,0.0009092264645713633,0.008513607066217491
0.1,0.004312226812955945,0.0008707333458305459,0.007939168767146825
0.11,0.004300279781669833,0.0009802059734280856,0.007850653620774159
0.12,0.004180286223991852,0.0010148513093258531,0.007788475535002334
0.13,0.0031939585233228427,0.0002486885316080293,0.006578408319341649
0.14,0.003050758288149891,0.00016094659417144178,0.006241506658827092
0.15,0.003193102777656848,0.00043220091615030237,0.006451019068659633
0.16,0.0030078869614361724,0.0002954286767513195,0.00618655438373817
0.17,0.0029935004409379663,0.0003929437803940676,0.006158690820493569
0.18,0.0028905155998920095,0.00030641970119265244,0.0059589447322302294
0.19,0.0026164474134429865,0.00032073143165649786,0.005074048371019451
0.2,0.0017816438516471066,-0.00028506526434790574,0.004167635976724543
0.21,0.0019448327208861536,8.046273526303885e-05,0.004163358272890823
0.22,0.0008196879585570594,-0.0007295511749838757,0.0025852555084234464
0.23,0.0006618430399904921,-0.0007441944057420049,0.002252755886392184
0.24,0.0003775861885634332,-0.0006648120919624696,0.001719055593138466
0.25,-0.00016210115130213323,-0.0008188906840480459,0.0006991486041100013
0.26,-0.00018801619766425475,-0.0008631550453479404,0.0006865076951601281
0.27,-7.720428004102439e-05,-0.0007784432538790732,0.0008049800155847708
0.28,-9.749910959031121e-05,-0.0008184866311362273,0.0007979689319622139
0.29,-0.00011836562447901481,-0.000859657990851329,0.0007907603530263457
0.3,-0.00013982832550739536,-0.0009020056751297198,0.0007833458146923097
0.31,-1.1185748014129914e-06,-0.0006310897918452616,0.0009285483101259651
0.32,-1.6225110911399973e-05,-0.0006613965709432671,0.0009136000235869968
0.33,-3.178258839780457e-05,-0.0006926080300143474,0.0008982055195394025
0.34,-4.781150459591825e-05,-0.0007247652908754605,0.0008823445153691539
0.35,-6.433361821551236e-05,-0.0007579120059169153,0.0008659954803013593
