n,min_risk,max_risk,observed_event_rate,mean_predicted_risk
3219.661637211742,0.0018246311224076,0.099085106169529,0.018764300286286402,0.019830663083397523
116.1333470195158,0.1003549367630525,0.1966623362841967,0.1647108151185626,0.13699576622734327
26.732396356662377,0.201093916900914,0.2961120115612833,0.238412491987995,0.2326250872972257
6.9162690198206915,0.3114050148667786,0.3845959486893364,0.4805327656697079,0.35140176458521893
10.27252192272459,0.4008747264999286,0.4840045434343684,0.41708972625590973,0.4280637673758549
11.076325032596161,0.5099421559702445,0.5989683092880737,0.5675129757643775,0.5626330674876314
9.977209723751722,0.6100317239506681,0.6854512422676173,0.759934541547718,0.6372035417894163
7.849167295404917,0.705686068990053,0.7986369631610167,0.5422730839596414,0.7511319804552801
2.3017644246439914,0.8508241123622654,0.8559990162707669,0.4797070888830249,0.8535165781815703
2.07936199313875,0.9173033321982164,0.930037226734405,1.0,0.9235350083692555
