Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.009,0.997,0.960,0.103
O,0.01,0.019,0.994,0.488,0.784
O,0.02,0.024,0.992,0.105,0.963
O,0.05,--,0.991,0.000,1.000
O+Q,0.005,0.011,0.997,0.887,0.309
O+Q,0.01,0.015,0.994,0.488,0.723
O+Q,0.02,0.016,0.992,0.155,0.918
O+Q,0.05,0.000,0.991,0.000,0.999
S,0.005,0.009,--,1.000,0.000
S,0.01,0.015,0.994,0.555,0.670
S,0.02,0.022,0.992,0.040,0.984
S,0.05,--,0.991,0.000,1.000
O+S,0.005,0.009,1.000,1.000,0.017
O+S,0.01,0.016,0.994,0.488,0.734
O+S,0.02,0.031,0.992,0.153,0.958
O+S,0.05,--,0.991,0.000,1.000
O+Q+S,0.005,0.009,1.000,1.000,0.045
O+Q+S,0.01,0.016,0.994,0.488,0.737
O+Q+S,0.02,0.027,0.992,0.153,0.951
O+Q+S,0.05,--,0.991,0.000,1.000
