Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.093,0.979,0.483,0.836
O,0.1,0.133,0.973,0.240,0.946
O,0.15,0.212,0.970,0.135,0.983
O,0.2,0.158,0.967,0.037,0.993
O+Q,0.05,0.175,0.987,0.655,0.893
O+Q,0.1,0.353,0.985,0.576,0.963
O+Q,0.15,0.478,0.982,0.489,0.981
O+Q,0.2,0.553,0.981,0.441,0.988
S,0.05,0.098,0.978,0.442,0.858
S,0.1,0.147,0.972,0.199,0.960
S,0.15,0.214,0.970,0.123,0.984
S,0.2,0.257,0.968,0.065,0.993
O+S,0.05,0.112,0.980,0.482,0.868
O+S,0.1,0.177,0.975,0.286,0.954
O+S,0.15,0.179,0.971,0.153,0.976
O+S,0.2,0.207,0.969,0.096,0.987
O+Q+S,0.05,0.186,0.988,0.685,0.896
O+Q+S,0.1,0.352,0.985,0.576,0.963
O+Q+S,0.15,0.454,0.982,0.478,0.980
O+Q+S,0.2,0.491,0.978,0.374,0.987
