Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.008,0.994,0.922,0.109
O,0.01,0.015,0.995,0.516,0.733
O,0.02,0.005,0.992,0.039,0.942
O,0.05,0.000,0.992,0.000,0.999
O+Q,0.005,0.008,0.995,0.880,0.179
O+Q,0.01,0.014,0.994,0.480,0.725
O+Q,0.02,0.016,0.993,0.123,0.938
O+Q,0.05,0.000,0.992,0.000,1.000
S,0.005,0.009,0.997,0.959,0.124
S,0.01,0.008,0.992,0.281,0.711
S,0.02,0.008,0.992,0.041,0.959
S,0.05,0.000,0.992,0.000,0.999
O+S,0.005,0.008,0.994,0.881,0.146
O+S,0.01,0.015,0.995,0.559,0.701
O+S,0.02,0.000,0.992,0.000,0.951
O+S,0.05,0.000,0.992,0.000,0.999
O+Q+S,0.005,0.008,0.994,0.798,0.250
O+Q+S,0.01,0.015,0.995,0.561,0.708
O+Q+S,0.02,0.005,0.992,0.041,0.938
O+Q+S,0.05,0.000,0.992,0.000,0.997
