Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.062,0.966,0.336,0.786
O,0.1,--,0.960,0.000,1.000
O,0.15,--,0.960,0.000,1.000
O,0.2,--,0.960,0.000,1.000
O+Q,0.05,0.082,0.976,0.567,0.732
O+Q,0.1,0.113,0.961,0.060,0.980
O+Q,0.15,0.000,0.960,0.000,0.999
O+Q,0.2,0.000,0.960,0.000,1.000
S,0.05,0.080,0.966,0.268,0.870
S,0.1,--,0.960,0.000,1.000
S,0.15,--,0.960,0.000,1.000
S,0.2,--,0.960,0.000,1.000
O+S,0.05,0.071,0.969,0.409,0.774
O+S,0.1,--,0.960,0.000,1.000
O+S,0.15,--,0.960,0.000,1.000
O+S,0.2,--,0.960,0.000,1.000
O+Q+S,0.05,0.108,0.985,0.724,0.748
O+Q+S,0.1,0.172,0.970,0.306,0.938
O+Q+S,0.15,0.340,0.964,0.127,0.990
O+Q+S,0.2,0.292,0.960,0.022,0.998
