Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.024,1.000,1.000,0.005
O,0.01,0.028,1.000,1.000,0.143
O,0.02,0.052,0.995,0.888,0.597
O,0.05,0.154,0.978,0.092,0.987
O+Q,0.005,0.024,--,1.000,0.000
O+Q,0.01,0.027,1.000,1.000,0.118
O+Q,0.02,0.044,0.992,0.805,0.572
O+Q,0.05,0.075,0.977,0.088,0.973
S,0.005,0.024,--,1.000,0.000
S,0.01,0.024,1.000,1.000,0.002
S,0.02,0.032,0.987,0.779,0.411
S,0.05,0.086,0.976,0.014,0.996
O+S,0.005,0.024,--,1.000,0.000
O+S,0.01,0.025,1.000,1.000,0.045
O+S,0.02,0.048,0.996,0.921,0.547
O+S,0.05,0.192,0.978,0.086,0.991
O+Q+S,0.005,0.024,--,1.000,0.000
O+Q+S,0.01,0.027,1.000,1.000,0.100
O+Q+S,0.02,0.047,0.993,0.824,0.587
O+Q+S,0.05,0.094,0.978,0.121,0.971
