Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.098,0.964,0.018,0.994
O,0.1,--,0.964,0.000,1.000
O,0.15,--,0.964,0.000,1.000
O,0.2,--,0.964,0.000,1.000
O+Q,0.05,0.064,0.965,0.069,0.962
O+Q,0.1,--,0.964,0.000,1.000
O+Q,0.15,--,0.964,0.000,1.000
O+Q,0.2,--,0.964,0.000,1.000
S,0.05,0.037,0.964,0.010,0.991
S,0.1,--,0.964,0.000,1.000
S,0.15,--,0.964,0.000,1.000
S,0.2,--,0.964,0.000,1.000
O+S,0.05,0.041,0.964,0.010,0.992
O+S,0.1,--,0.964,0.000,1.000
O+S,0.15,--,0.964,0.000,1.000
O+S,0.2,--,0.964,0.000,1.000
O+Q+S,0.05,0.071,0.983,0.688,0.665
O+Q+S,0.1,0.233,0.965,0.027,0.997
O+Q+S,0.15,--,0.964,0.000,1.000
O+Q+S,0.2,--,0.964,0.000,1.000
