Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.015,0.986,0.978,0.024
O,0.01,0.015,0.985,0.400,0.586
O,0.02,0.000,0.985,0.000,0.995
O,0.05,--,0.985,0.000,1.000
O+Q,0.005,0.015,1.000,1.000,0.010
O+Q,0.01,0.024,0.989,0.531,0.662
O+Q,0.02,0.000,0.984,0.000,0.974
O+Q,0.05,--,0.985,0.000,1.000
S,0.005,0.017,0.994,0.931,0.180
S,0.01,0.033,0.993,0.677,0.695
S,0.02,0.043,0.987,0.238,0.919
S,0.05,1.000,0.985,0.025,1.000
O+S,0.005,0.016,0.991,0.931,0.123
O+S,0.01,0.031,0.993,0.696,0.671
O+S,0.02,0.053,0.988,0.264,0.927
O+S,0.05,--,0.985,0.000,1.000
O+Q+S,0.005,0.018,1.000,1.000,0.182
O+Q+S,0.01,0.032,0.993,0.677,0.685
O+Q+S,0.02,0.067,0.989,0.349,0.925
O+Q+S,0.05,0.000,0.985,0.000,0.997
