threshold,strategy,net_benefit,model
0.095,Treat all,-0.09255965521640674,S
0.1,Treat all,-0.09862943107872013,S
0.005,Treat none,0.0,S
0.01,Treat none,0.0,S
0.015,Treat none,0.0,S
0.02,Treat none,0.0,S
0.025,Treat none,0.0,S
0.03,Treat none,0.0,S
0.035,Treat none,0.0,S
0.04,Treat none,0.0,S
0.045,Treat none,0.0,S
0.05,Treat none,0.0,S
0.055,Treat none,0.0,S
0.06,Treat none,0.0,S
0.065,Treat none,0.0,S
0.07,Treat none,0.0,S
0.075,Treat none,0.0,S
0.08,Treat none,0.0,S
0.085,Treat none,0.0,S
0.09,Treat none,0.0,S
0.095,Treat none,0.0,S
0.1,Treat none,0.0,S
0.005,O+S,0.005790481820645875,O+S
0.01,O+S,0.002249019593707115,O+S
0.015,O+S,0.0011813721304864853,O+S
0.02,O+S,0.0012782198160182204,O+S
0.025,O+S,0.0011290677421381167,O+S
0.03,O+S,0.0009189405102013129,O+S
0.035,O+S,0.00047396476227504956,O+S
0.04,O+S,0.0003137955711258941,O+S
0.045,O+S,0.00044519416295960435,O+S
0.05,O+S,0.00012471217947543597,O+S
0.055,O+S,-0.0001055912952543986,O+S
0.06,O+S,-0.00011580321936023984,O+S
0.065,O+S,-0.0001261243619057158,O+S
0.07,O+S,-0.00013655648447856244,O+S
0.075,O+S,0.0,O+S
0.08,O+S,0.0,O+S
0.085,O+S,0.0,O+S
0.09,O+S,0.0,O+S
0.095,O+S,0.0,O+S
0.1,O+S,0.0,O+S
0.005,Treat all,0.00626483621020291,O+S
0.01,Treat all,0.0012459717466180749,O+S
0.015,Treat all,-0.003823845655683354,O+S
0.02,Treat all,-0.008945395888620518,O+S
0.025,Treat all,-0.014119474841895492,O+S
0.03,Treat all,-0.019346894815307325,O+S
0.035,Treat all,-0.024628484943884046,O+S
0.04,Treat all,-0.02996509163630011,O+S
0.045,Treat all,-0.03535757902706608,O+S
0.05,Treat all,-0.04080682944299801,O+S
0.055,Treat all,-0.04631374388449535,O+S
0.06,Treat all,-0.05187924252217883,O+S
0.065,Treat all,-0.057504265209463216,O+S
0.07,Treat all,-0.06318977201166465,O+S
0.075,Treat all,-0.06893674375226821,O+S
0.08,Treat all,-0.07474618257700881,O+S
0.085,Treat all,-0.08061911253644602,O+S
0.09,Treat all,-0.08655658018774517,O+S
0.095,Treat all,-0.09255965521640674,O+S
0.1,Treat all,-0.09862943107872013,O+S
0.005,Treat none,0.0,O+S
0.01,Treat none,0.0,O+S
0.015,Treat none,0.0,O+S
0.02,Treat none,0.0,O+S
0.025,Treat none,0.0,O+S
0.03,Treat none,0.0,O+S
0.035,Treat none,0.0,O+S
0.04,Treat none,0.0,O+S
0.045,Treat none,0.0,O+S
0.05,Treat none,0.0,O+S
0.055,Treat none,0.0,O+S
0.06,Treat none,0.0,O+S
0.065,Treat none,0.0,O+S
0.07,Treat none,0.0,O+S
0.075,Treat none,0.0,O+S
0.08,Treat none,0.0,O+S
0.085,Treat none,0.0,O+S
0.09,Treat none,0.0,O+S
0.095,Treat none,0.0,O+S
0.1,Treat none,0.0,O+S
0.005,Q+S,0.006182397698046645,Q+S
0.01,Q+S,0.0036245490379473266,Q+S
0.015,Q+S,0.0026192765052789405,Q+S
0.02,Q+S,0.001608820100657204,Q+S
0.025,Q+S,0.001804972955596232,Q+S
0.03,Q+S,0.0008301345143492535,Q+S
0.035,Q+S,0.000624429488609028,Q+S
0.04,Q+S,0.00018608045486380857,Q+S
