threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.005,0.006146195010697633,0.002388167053072587,0.010332846175681575
0.01,0.0036052409253151006,0.0007624779348288575,0.007266047978528452
0.015,0.002621067813168695,0.00019308696295287776,0.00556731125284432
0.02,0.0015983379062988101,-0.000338488875031311,0.004223406713433976
0.025,0.001780807136018107,-3.835394295702449e-05,0.004113591201599557
0.03,0.0008153118989788198,-0.000355604011821583,0.002298637470465195
0.035,0.0006185780369403268,-0.0003937848877194623,0.001967824922682244
0.04,0.000188698673802459,-0.000304764151991133,0.0010101136336912527
0.045,-8.341329581706981e-05,-0.00025985074263386163,0.0
0.05,-9.316923684830608e-05,-0.0002902426423571203,0.0
0.055,-0.00010302841535077224,-0.0003209561494848579,0.0
0.06,-0.00011299247873092448,-0.0003519963960501246,0.0
0.065,-0.0001230631096338587,-0.0003833686238620786,0.0
0.07,-0.0001332420268905882,-0.000415078187456957,0.0
0.075,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
