Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.009,0.975,0.683,0.138
O,0.01,0.011,0.989,0.401,0.591
O,0.02,0.000,0.989,0.000,0.980
O,0.05,--,0.989,0.000,1.000
O+Q,0.005,0.011,--,1.000,0.000
O+Q,0.01,0.016,0.992,0.532,0.624
O+Q,0.02,0.033,0.989,0.033,0.989
O+Q,0.05,--,0.989,0.000,1.000
S,0.005,0.015,0.995,0.852,0.350
S,0.01,0.021,0.992,0.455,0.758
S,0.02,0.046,0.991,0.196,0.954
S,0.05,0.000,0.989,0.000,0.996
O+S,0.005,0.014,0.994,0.785,0.391
O+S,0.01,0.019,0.991,0.429,0.743
O+S,0.02,0.037,0.991,0.239,0.930
O+S,0.05,0.080,0.989,0.028,0.996
O+Q+S,0.005,0.014,0.995,0.839,0.347
O+Q+S,0.01,0.024,0.993,0.546,0.749
O+Q+S,0.02,0.044,0.991,0.255,0.938
O+Q+S,0.05,0.000,0.989,0.000,0.998
