Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.399,-6.763,-0.475,0.011,0.009,0.975,0.011,0.989,0.000,0.989,--,0.989,ref
O+Q,0.557,0.754,1.135,0.011,0.011,--,0.016,0.992,0.033,0.989,--,0.989,0.311
S,0.616,-0.126,0.908,0.011,0.015,0.995,0.021,0.992,0.046,0.991,0.000,0.989,0.598
O+S,0.605,-0.384,0.850,0.011,0.014,0.994,0.019,0.991,0.037,0.991,0.080,0.989,0.646
O+Q+S,0.669,1.252,1.217,0.011,0.014,0.995,0.024,0.993,0.044,0.991,0.000,0.989,0.664
