threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.005,0.005748282621543007,0.0022452387584791624,0.009639386653875367
0.01,0.0022048812832001752,-0.00027341877446329416,0.005372793041598416
0.015,0.001162895899081268,-0.000982799058149992,0.0039217237361043825
0.02,0.0012531012491340428,-0.0007037713134584421,0.0037268970736908202
0.025,0.0010948523113486971,-0.0004892935334755471,0.003317271938350583
0.03,0.0008880270540283373,-0.00046869536807878174,0.002835742060525494
0.035,0.00046485895381378226,-0.0004913858058900124,0.0017239332616194043
0.04,0.00030591121066027494,-0.00045340632595980743,0.0013892721475527532
0.045,0.0004405189365908209,-0.00025785088943902824,0.0014809971218266722
0.05,0.00011177844981329161,-0.00038412547302442077,0.000858928967619029
0.055,-0.00010302841535077224,-0.0003209561494848579,0.0
0.06,-0.00011299247873092448,-0.0003519963960501246,0.0
0.065,-0.0001230631096338587,-0.0003833686238620786,0.0
0.07,-0.0001332420268905882,-0.000415078187456957,0.0
0.075,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
