threshold,nb_model_mean,nb_model_ci_low,nb_model_ci_high
0.005,0.00629475954875324,0.0025191350847989544,0.01032899607556889
0.01,0.0026763854198198476,9.45570597921748e-05,0.0059842955164098035
0.015,0.001578455095152129,-0.0006759754926234807,0.0043431380126899835
0.02,0.0012397570093304882,-0.0003395890425057137,0.003546706828914878
0.025,0.0009450599975720645,-0.0006043188287477405,0.003025073289929943
0.03,0.0002585640249236209,-0.0007631787958053154,0.0015759123444251386
0.035,0.0007301413987028999,-0.00019728312222829013,0.0019226910205859924
0.04,7.360617461120582e-05,-0.00045195125376991667,0.0008667503887171856
0.045,0.00013150042456774893,-0.00034390291040406256,0.0008690139865926094
0.05,-0.0001883448589050673,-0.00047508081476983196,0.0
0.055,-0.00010302841535077224,-0.0003209561494848579,0.0
0.06,-0.00011299247873092448,-0.0003519963960501246,0.0
0.065,-0.0001230631096338587,-0.0003833686238620786,0.0
0.07,-0.0001332420268905882,-0.000415078187456957,0.0
0.075,-0.00014353098649603902,-0.0004471305571447528,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
