Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.021,--,1.000,0.000
O,0.01,0.024,0.998,0.986,0.152
O,0.02,0.029,0.984,0.523,0.630
O,0.05,0.069,0.980,0.091,0.974
O+Q,0.005,0.021,--,1.000,0.000
O+Q,0.01,0.024,0.995,0.954,0.181
O+Q,0.02,0.034,0.986,0.566,0.657
O+Q,0.05,0.090,0.981,0.138,0.970
S,0.005,0.021,--,1.000,0.000
S,0.01,0.021,--,1.000,0.000
S,0.02,0.026,0.982,0.383,0.700
S,0.05,0.061,0.979,0.016,0.995
O+S,0.005,0.021,--,1.000,0.000
O+S,0.01,0.022,0.994,0.986,0.054
O+S,0.02,0.031,0.985,0.553,0.630
O+S,0.05,0.104,0.980,0.047,0.991
O+Q+S,0.005,0.021,1.000,1.000,0.000
O+Q+S,0.01,0.024,0.995,0.954,0.189
O+Q+S,0.02,0.035,0.986,0.568,0.668
O+Q+S,0.05,0.105,0.982,0.170,0.969
