Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.029,1.000,1.000,0.024
O,0.01,0.040,0.995,0.937,0.359
O,0.02,0.052,0.989,0.779,0.593
O,0.05,0.114,0.974,0.086,0.981
O+Q,0.005,0.028,1.000,1.000,0.014
O+Q,0.01,0.039,0.995,0.938,0.338
O+Q,0.02,0.049,0.986,0.688,0.614
O+Q,0.05,0.134,0.975,0.122,0.977
S,0.005,0.028,--,1.000,0.000
S,0.01,0.029,1.000,1.000,0.057
S,0.02,0.036,0.981,0.700,0.456
S,0.05,0.175,0.972,0.013,0.998
O+S,0.005,0.028,1.000,1.000,0.010
O+S,0.01,0.033,0.994,0.959,0.189
O+S,0.02,0.051,0.989,0.762,0.596
O+S,0.05,0.068,0.973,0.036,0.986
O+Q+S,0.005,0.028,1.000,1.000,0.010
O+Q+S,0.01,0.033,0.993,0.947,0.213
O+Q+S,0.02,0.055,0.989,0.751,0.631
O+Q+S,0.05,0.079,0.974,0.073,0.976
