Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.029,--,1.000,0.000
O,0.01,0.033,0.996,0.978,0.153
O,0.02,0.052,0.982,0.568,0.695
O,0.05,0.035,0.972,0.022,0.983
O+Q,0.005,0.029,1.000,1.000,0.003
O+Q,0.01,0.034,0.987,0.885,0.257
O+Q,0.02,0.061,0.984,0.576,0.741
O+Q,0.05,0.104,0.975,0.158,0.960
S,0.005,0.029,--,1.000,0.000
S,0.01,0.029,--,1.000,0.000
S,0.02,0.049,0.977,0.360,0.793
S,0.05,0.052,0.972,0.012,0.994
O+S,0.005,0.029,--,1.000,0.000
O+S,0.01,0.032,0.995,0.978,0.132
O+S,0.02,0.055,0.982,0.565,0.715
O+S,0.05,0.096,0.973,0.067,0.981
O+Q+S,0.005,0.029,--,1.000,0.000
O+Q+S,0.01,0.033,0.988,0.906,0.228
O+Q+S,0.02,0.066,0.985,0.622,0.740
O+Q+S,0.05,0.123,0.975,0.168,0.965
